,videoStreamingExperience,downloadSpeed,location,dnsLookupTime,createdAt,networkType,operatorName,networkAvailability,uploadSpeed,Latitude,Longitude,Location,state
0,3.678049957765174,0.129319088062682,Lat. 9.4853237 Long. 12.0245522,2585.0,1641127038483,4G LTE,MTN,True,0.216811825430222,9.4853237,12.0245522,"9.4853237, 12.0245522",Adamawa
1,5.0,0.24919846334695903,Lat. 7.2508549 Long. 5.1818247,39.0,1646044273192,4G LTE,MTN NG,True,0.0,7.2508549,5.1818247,"7.2508549, 5.1818247",Ondo
2,4.898636418486786,0.574025420150576,Lat. 7.1639266 Long. 5.5832258,58.0,1638715785371,4G LTE,MTN,True,0.48435340807275806,7.1639266,5.5832258,"7.1639266, 5.5832258",Ondo
3,-1.0,-1.0,Lat. 51.3996785 Long. -0.0170788,63.0,1646089794124,4G LTE,3,True,0.0,51.3996785,-0.0170788,"51.3996785, -0.0170788",England
4,5.0,1.027778847507699,Lat. 51.4010096 Long. 0.0179004,16.0,1638782520901,4G LTE,3,True,1.000569615553432,51.4010096,0.0179004,"51.4010096, 0.0179004",England
5,4.898636418486786,0.49718505804698,Lat. 7.1662815 Long. 5.5825693,160.0,1639146433214,4G LTE,Airtel,True,0.39859700408672205,7.1662815,5.5825693,"7.1662815, 5.5825693",Ondo
6,0.30377096657415203,0.07285384322055001,Lat. 8.9662392 Long. 7.6638959,8927.0,1642714362095,3G HSPA,Airtel,True,0.075,8.9662392,7.6638959,"8.9662392, 7.6638959",Nasarawa
7,3.494147459876915,0.095581460502364,Lat. 8.9951984 Long. 7.563149,28.0,1644615067817,4G LTE,MTN,True,0.075,8.9951984,7.563149,"8.9951984, 7.563149",Federal Capital Territory
8,2.660190660069989,0.773289021413037,Lat. 7.2734847 Long. 5.2007359,4.0,1638463314353,4G LTE,CARD 1,True,0.538286588600497,7.2734847,5.2007359,"7.2734847, 5.2007359",Ondo
9,5.0,1.267124606516341,Lat. 51.4010093 Long. 0.0178504,53.0,1635157994396,4G LTE,3,True,0.974763599677493,51.4010093,0.0178504,"51.4010093, 0.0178504",England
10,4.898636418486786,0.442483376261856,Lat. 6.4303431 Long. 3.4099222,39.0,1644560276829,4G LTE,MTN,True,0.671084221569735,6.4303431,3.4099222,"6.4303431, 3.4099222",Lagos
11,-1.0,0.057579500290181,Lat. 8.977855 Long. 7.6729543,1931.0,1643034944662,4G HSPA+,Airtel,True,0.0,8.977855,7.6729543,"8.977855, 7.6729543",Nasarawa
12,1.407354893206226,0.053581828311851,Lat. 8.9782046 Long. 7.6726151,1111.0,1641408616724,3G HSPA,Airtel,True,0.075,8.9782046,7.6726151,"8.9782046, 7.6726151",Nasarawa
13,2.5588270785567753,0.37184188778513605,Lat. 8.9844068 Long. 7.6709193,601.0,1644330335077,3G HSPA,Airtel,True,0.075,8.9844068,7.6709193,"8.9844068, 7.6709193",Nasarawa
14,4.898636418486786,0.265550515623998,Lat. 8.8814602 Long. 7.2186042,238.0,1640806240705,4G LTE,MTN,True,0.383108593391907,8.8814602,7.2186042,"8.8814602, 7.2186042",Federal Capital Territory
15,-1.0,0.603636426907877,Lat. 6.578382 Long. 3.3957503,33.0,1641654836929,4G LTE,MTN,True,0.15973489059776502,6.578382,3.3957503,"6.578382, 3.3957503",Lagos
16,2.660190660069989,0.18489453852936902,Lat. 9.5977239 Long. 6.5089238,15111.0,1599167432686,3G HSPA,Airtel NG,True,0.10985730871023901,9.5977239,6.5089238,"9.5977239, 6.5089238",Niger
17,4.797272836973573,0.09521135289626201,Lat. 4.4010005 Long. 7.1559635,254.0,1640551229631,4G LTE,Airtel,True,0.204830025585047,4.4010005,7.1559635,"4.4010005, 7.1559635",Rivers
18,4.898636418486786,0.8178955881219161,Lat. 9.0050226 Long. 7.2701643,57.0,1642691059291,4G LTE,MTN - NG,True,0.307877073756443,9.0050226,7.2701643,"9.0050226, 7.2701643",Federal Capital Territory
19,4.898636418486786,0.9845423323819311,Lat. 7.3030168 Long. 5.1456502,23.0,1635690273896,4G LTE,MTN - NG,True,0.5744864236699,7.3030168,5.1456502,"7.3030168, 5.1456502",Ondo
20,-1.0,0.10952929358835901,Lat. 8.9724651 Long. 7.6685452,62.0,1642961850172,4G HSPA+,Airtel,True,0.0,8.9724651,7.6685452,"8.9724651, 7.6685452",Nasarawa
21,-1.0,0.35793293196785503,Lat. 6.5823724 Long. 3.3985894,43.0,1641143161023,4G LTE,MTN,True,0.155444634609254,6.5823724,3.3985894,"6.5823724, 3.3985894",Lagos
22,2.500579220465789,0.162647745272506,Lat. 9.5395453 Long. 6.4678274,5154.0,1639598154647,3G HSPA,Glo,True,0.025,9.5395453,6.4678274,"9.5395453, 6.4678274",Niger
23,4.898636418486786,0.580197736496281,Lat. 7.3013094 Long. 5.1360919,60403.0,1635443482884,4G LTE,MTN - NG,True,0.48322744121943106,7.3013094,5.1360919,"7.3013094, 5.1360919",Ondo
24,-1.0,-1.0,Lat. 6.5747292 Long. 3.3964149,72.0,1639455628686,4G LTE,MTN,True,0.0,6.5747292,3.3964149,"6.5747292, 3.3964149",Lagos
25,4.898636418486786,0.340789828384131,Lat. 7.2749679 Long. 5.1590093,5.0,1646043305576,4G LTE,MTN NG,True,0.0,7.2749679,5.1590093,"7.2749679, 5.1590093",Ondo
26,2.660190660069989,0.7055946319613331,Lat. 9.5320487 Long. 6.4431846,56.0,1639432741233,4G LTE,Glo,True,0.075,9.5320487,6.4431846,"9.5320487, 6.4431846",Niger
